# t,event_type,mode,packet_id
1.26,plantsend,1,63
1.26826,controllerreceive,1,63
1.27717,plantreceive,1,63
1.28,plantsend,1,64
1.28992,controllerreceive,1,64
1.29878,plantreceive,1,64
1.3,plantsend,1,65
1.30829,controllerreceive,1,65
1.31718,plantreceive,1,65
1.32,plantsend,1,66
1.32867,controllerreceive,1,66
1.33733,plantreceive,1,66
1.34,plantsend,1,67
1.34982,controllerreceive,1,67
1.3586,plantreceive,1,67
1.36,plantsend,1,68
1.36944,controllerreceive,1,68
1.37824,plantreceive,1,68
1.38,plantsend,1,69
1.38955,controllerreceive,1,69
1.39831,plantreceive,1,69
1.4,plantsend,1,70
1.40786,controllerreceive,1,70
1.41684,plantreceive,1,70
1.42,plantsend,1,71
1.42804,controllerreceive,1,71
1.43699,plantreceive,1,71
1.44,plantsend,1,72
1.44812,controllerreceive,1,72
1.45681,plantreceive,1,72
1.46,plantsend,1,73
1.46809,controllerreceive,1,73
1.47675,plantreceive,1,73
1.48,plantsend,1,74
1.48819,controllerreceive,1,74
1.49708,plantreceive,1,74
1.5,plantsend,1,75
1.51013,controllerreceive,1,75
1.51898,plantreceive,1,75
1.52,plantsend,1,76
1.5292,controllerreceive,1,76
1.53809,plantreceive,1,76
1.54,plantsend,1,77
1.54848,controllerreceive,1,77
1.55749,plantreceive,1,77
1.56,plantsend,1,78
1.56915,controllerreceive,1,78
1.57804,plantreceive,1,78
1.58,plantsend,1,79
1.5893,controllerreceive,1,79
1.598,plantreceive,1,79
1.6,plantsend,1,80
1.61396,controllerreceive,1,80
1.62,plantsend,1,81
1.62277,plantreceive,1,80
1.62802,controllerreceive,1,81
1.63701,plantreceive,1,81
1.64,plantsend,1,82
1.65033,controllerreceive,1,82
1.65921,plantreceive,1,82
1.66,plantsend,1,83
1.66993,controllerreceive,1,83
1.67858,plantreceive,1,83
1.68,plantsend,1,84
1.68832,controllerreceive,1,84
1.69724,plantreceive,1,84
1.7,plantsend,1,85
1.70823,controllerreceive,1,85
1.71709,plantreceive,1,85
1.72,plantsend,1,86
1.72785,controllerreceive,1,86
1.73659,plantreceive,1,86
1.74,plantsend,1,87
1.74976,controllerreceive,1,87
1.75862,plantreceive,1,87
1.76,plantsend,1,88
1.76878,controllerreceive,1,88
1.7777,plantreceive,1,88
1.78,plantsend,1,89
1.78778,controllerreceive,1,89
1.79669,plantreceive,1,89
1.8,plantsend,1,90
1.80911,controllerreceive,1,90
1.81779,plantreceive,1,90
1.82,plantsend,1,91
1.82826,controllerreceive,1,91
1.83713,plantreceive,1,91
1.84,plantsend,1,92
1.85021,controllerreceive,1,92
1.85894,plantreceive,1,92
1.86,plantsend,1,93
1.86816,controllerreceive,1,93
1.87714,plantreceive,1,93
1.88,plantsend,1,94
1.88991,controllerreceive,1,94
1.89879,plantreceive,1,94
1.9,plantsend,1,95
